Album,Song,Year,Total_Streams,Daily,Lyrics
Reputation,KingofMyHeart,2017,167982468,225035,im perfectly fine live made mind im better bein alone met weeks ago try callin baby like tryin clothes precious salute im american queen move like im town beat rule kingdom inside room cause boys expensive cars range rovers jaguars never took quite chorus one waiting king heart body soul your want ill never let go king heart body soul ive waiting waiting one waiting waiting body soul verse 2 late night city asleep love secret im hoping dreaming dying keep change priorities taste lips idea luxury precious salute im american queen move like im town beat rule kingdom inside room inside room oh cause boys expensive cars range rovers jaguars never took quite might also one waiting king heart body soul your want ill never let go king heart heart body soul hey ive waiting waiting waiting one waiting waiting waiting waiting body soul bridge end endings broken bones mending nights spending roof school girl crush drinking beer plastic cups say fancy fancy stuff baby enough breakdown one waiting king heart body soul chorus one waiting king heart body soul your want ill never let go king heart heart body soul soul ive waiting waiting one waiting waiting body soul
Midnights,Labyrinth,2022,168771867,494354,hurts much right thinkin whole time breathe breathe breathe deep breathe ill gettin whole life precious know scared elevators never trust rises fast cant last chorus hoh im fallin love oh im fallin love oh im fallin love thought plane goin how turn right around verse 2 feels raw right lost labyrinth mind break break free break break would break back make break smile precious know much hate everybody expects bounce back like chorus hoh im fallin love oh im fallin love oh im fallin love thought plane goin how turn right around hoh im fallin love oh im fallin love oh im fallin love thought plane goin how turn right around hoh im fallin love oh im fallin love oh im fallin love thought plane goin how turn right around hoh im fallin love oh im fallin love oh im fallin love thought plane goin how turn right might also
SpeakNow,LastKiss,2010,102301979,161172,still remember look face lit darkness 158 words whispered us know told loved go away away verse 2 recall smell rain fresh pavement ran plane july ninth beat heart jumps shirt still feel arms precious ill go sit floor wearing clothes know dont know something miss chorus never thought wed last kiss never imagined wed end like name forever name lips might also 3 remember swing step life party your showing id roll eyes youd pull im much dancing love handshake meeting father love walk hands pockets youd kiss middle saying something theres day dont miss rude interruptions precious ill go sit floor wearing clothes know dont know something miss chorus never thought wed last kiss never imagined wed end like name forever name lips ooh bridge ill watch life pictures like used watch sleep feel forget like used feel breathe ill keep old friends ask hope nice hope sun shines beautiful day something reminds wish stayed plan change weather time never planned changing mind precious ill go sit floor wearing clothes know dont know something miss chorus never thought wed last kiss never imagined wed end like name forever name lips outdo like last kiss forever name lips forever name lips like
Midnights,LavenderHaze,2022,428437353,1347899,meet midnight verse 1 staring ceiling oh dont ever say much dont really read melancholia precious scrutiny yeah oh yeah handle beautifully yeah oh yeah shit new yeah oh yeah chorus feel lavender haze creeping surreal im damned give damn people say deal shit want wan na stay lavender haze verse 2 keep asking keep asking im gon na bride kinda girl see kinda girl see overnight wife precious find dizzying yeah oh yeah there bringing history yeah oh yeah werent even listening yeah oh yeah chorus feel lavender haze creeping surreal im damned give damn people say deal shit want wan na stay lavender haze might also lavender haze bridge talk talk go viral need love spiral get chest get desk get desk talk talk go viral need love spiral get chest get desk chorus feel feel lavender haze creeping surreal im damned give damn people say deal deal shit want wan na stay lavender haze outdo get chest get desk lavender haze wan na stay wan na stay lavender
Lover,LondonBoy,2019,207253167,289683,go drivin scooter uh know round london oh id verse 1 love hometown much town love local know love springsteen faded blue jeans tennessee whiskey somethin happened heard laughing saw dimples first heard accent say home heart thats mine lives chorus know love london boy enjoy walkin camden market likes american smile like child eyes meet darling fancy took back met best mates guess rumors true know love london boy boy fancy ooh verse 2 love high tea stories uni west end find pub watchin rugby school friends show gray sky rainy cab ride babes dont threaten good time say home heart god love english chorus know love london boy enjoy nights braxton likes american smile like child eyes meet darling fancy took back met best mates guess rumors true know love london boy boy fancy might also please show hackney doesn't louis i bond street wan na wan na stick im queen like tennessee stella mccarthy heath wan na wan na wan na oh woah chorus know love london boy enjoy walkin soho drinking yeah likes american smile like child eyes meet darling fancy took back met best mates guess rumors true yeah know love london boy oh boy oh fancy fancy ooh outdo please show hackney doesn't louis i bond street wan na ooh oh fancy oh ooh stick im queen like tennessee stella mccarthy heath wan na ooh wan na fancy yeah fancy ahah
SpeakNow,LongLive,2010,81060658,141712,said remember moment back mind time stood shaking hands crowds stands went wild kings queens read names night danced like knew lives would never held head like hero history book page end decade start age chorus long live walls crashed kingdom lights shined screaming long live magic made bring pretenders one day remembered verse 2 said remember feeling pass pictures around years stood sidelines wishing right kings queens traded baseball cap crown gave us trophies held town cynics outraged screaming absurd cause moment band thieves ripped jeans got rule world might also long live walls crashed kingdom lights shined screaming long live magic made bring pretenders im afraid long live mountains moved time life fighting dragons screaming long live look face bring pretenders one day remembered bridge hold spinning around confetti falls ground may memories break fall take moment promise youll stand forever god forbid fate step force us goodbye children day point pictures please tell em name tell em crowds went wild tell em hope shine long live walls crashed time life chorus long long live walls crashed kingdom lights shined screaming long live magic made bring pretenders im afraid singing long live mountains moved time life fighting dragons long long live look face bring pretenders one day
Evermore,longstoryshort,2020,133667299,142449,carefully tried pick battles til battle picked misery like war words shouted sleep passed right alley surrounded sides knife cuts ways shoe fits walk til high heels break chorus fell pedestal right rabbit hole long story short bad time pushed precipice clung nearest lips long story short wrong guy im im ah yeah yeah im ah yeah yeah verse 2 actually always felt must look better rear view missing golden gates held keys dropped sword threw bushes knocked door live peace someone comes us time im ready might also cause fell pedestal right rabbit hole long story short bad time pushed precipice clung nearest lips long story short wrong guy im im ah yeah yeah im bridge keeping score keep warm keep warm tug war know theres know theres keeping score keep warm keep warm waves meet shore ever evermore verse 3 past wan na tell get lost petty things nemesis defeat get chance swing hes passing rare glimmer comet sky feels like home shoe fits walk everywhere go chorus fell pedestal right rabbit hole long story short bad time pushed precipice climbed right back cliff long story short survived im im ah im im ah yeah yeah im yeah yeah im outdo long story short bad time long story short
Reputation,LookWhatYouMadeMeDo,2017,863141693,535102,dont like little games dont like tilted stage role made play fool dont like dont like perfect crime laugh lie said gun mine isn't cool dont like oh precious got smarter got harder nick time honey rose dead time ive got list names red underlined check check twice oh chorus ooh look made look made look made look made me ooh look made look made look made look made verse 2 dont like kingdom keys belonged asked place sleep locked threw feast world moves another day another drama drama think karma world moves one things sure maybe got mine youll get precious got smarter got harder nick time honey rose dead time ive got list names red underlined check check twice oh might also ooh look made look made look made look made me ooh look made look made look made look made bridge dont trust nobody nobody trusts ill actress starring bad dreams dont trust nobody nobody trusts ill actress starring bad dreams dont trust nobody nobody trusts ill actress starring bad dreams dont trust nobody nobody trusts ill actress starring bad dreams ooh look made look made look made look made me ooh look made look made look made me im sorry old taylor cant come phone right oh cause shes dead oh chorus ooh look made look made look made look made me ooh look made look made look made look made ooh look made look made look made look made me ooh look made look made look made look made
Lover,Lover,2019,808897323,1035997,could leave christmas lights til january place make rules theres dazzling haze mysterious way dear known twenty seconds twenty years chorus go go always close forever ever ah take take home your lover verse 2 could let friends crash living room place make call im highly suspicious everyone sees wants ive loved three summers honey want em chorus go go always close forever ever ah take take home forever ever your lover bridge ladies gentlemen please stand every guitar string scar hand take magnetic force man lover hearts borrowed blue alls well ends well end swear true lover youll save dirtiest jokes every table ill save seat lover chorus go go always close forever ever ah take take home forever ever your oh your darling your loveyou might also
Fearless,LoveStory,2008,706899206,489675,young first saw close eyes flashback starts im standing balcony summer air see lights see party ball gowns see make way crowd say hello little know precious romeo throwing pebbles daddy said stay away juliet crying staircase begging please dont go said chorus romeo take somewhere alone ill waiting theres left run youll prince ill princess love story baby say yes verse 2 sneak garden see keep quiet cause dead knew close eyes escape town little oh oh might also cause romeo scarlet letter daddy said stay away juliet everything begging please dont go said chorus romeo take somewhere alone ill waiting theres left run youll prince ill princess love story baby say yes romeo save there trying tell feel love difficult real dont afraid well make mess love story baby say yes oh oh bridge got tired waiting wondering ever coming around faith fading met outskirts town breakdown said romeo save ive feeling alone keep waiting never come head dont know think knelt ground pulled ring said chorus marry juliet youll never alone love thats really know talked dad go pick white dress love story baby say yes outdo oh oh oh oh oh oh cause young first saw
Folklore,madwoman,2020,147565507,131935,think id say scorpion sting fighting back strike kill know know sing drive home see face neighbors lawn smile mouth fuck forever precious every time call crazy get crazy say seem angry get angry chorus theres nothing like mad woman shame went mad one likes mad woman made like youll poke bear til claws come find something wrap noose around theres nothing like mad woman verse 2 breathe flames time talk cannons firing yacht say move know wont women like hunting witches dirtiest work obvious wanting dead really brought two together might also every time call crazy get crazy say seem angry get angry chorus theres nothing like mad woman shame went mad one likes mad woman made like youll poke bear til claws come find something wrap noose around theres nothing like mad woman bridge im taking time taking time cause took everything watching climb watching climb people like master spin couple side flings good wives always know mad scathing like outdo one likes mad woman shame went mad made like
Evermore,marjorie,2020,115502552,186432,never kind forget clever never clever forget kind precious didn't know better id think talking didn't know better id think still around chorus died didn't stay dead died didn't stay dead your alive your alive head died didn't stay dead died didn't stay dead your alive alive verse 2 never polite forget power never wield power forget polite might also didn't know better id think listening didn't know better id think still around chorus died didn't stay dead died didn't stay dead your alive your alive head died didn't stay dead died didn't stay dead your alive alive bridge autumn chill wakes loved amber skies much long limbs frozen swims youd always go past feet could touch complained whole way car ride back stairs shouldve asked questions shouldve asked asked write shouldve kept every grocery store receipt cause every scrap would taken watched signed name marjorie closets backlogged dreams left chorus died didn't stay dead died didn't stay dead your alive your alive head died didn't stay dead died didn't stay dead your alive alive outdo didn't know better id think singing didn't know better id think still around know better still feel around know better your still
Midnights,Maroon,2022,284042550,871977,morning came cleaning incense vinyl shelf cause lost track time laughing feet lap like closest friend how end floor anyway say roommates cheapest screwup rose thats see every day chorus chose one dancing new york shoes looked sky burgundy shirt splashed wine blood rushed cheeks scarlet mark they saw collarbone rust grew between telephones lips used call home scarlet maroon verse 2 silence came shaking blind hazy hell lose sight us sobbing head hands aint way shit always ends standing hollowed hallway carnations thought roses thats us feel matter rubies gave chorus lost one dancing new york shoes looked sky maroon burgundy shirt splashed wine blood rushed cheeks scarlet maroon mark saw collarbone rust grew telephones lips used call home scarlet maroon bridge wake memory thats real fucking legacy legacy maroon wake memory thats real fucking legacy leave might also burgundy shirt splashed wine blood rushed cheeks scarlet maroon mark saw collarbone rust grew telephones lips used call home scarlet maroon outdo maroon
TaylorSwift,MarysSongOhMyMyMy,2006,30297553,38224,said seven nine looked like stars shined sky pretty lights daddies used joke two us growing falling love mamas smiled rolled eyes said oh chorus take back house backyard tree said youd beat bigger never never take back world one block wide dared kiss ran tried two kids oh verse 2 well sixteen suddenly want little girl used see eyes still shined like pretty lights daddies used joke two us never believed wed really fall love mamas smiled rolled eyes said oh chorus take back creek beds turned 2 riding truck need next take back time first fight slamming doors stead kissing goodnight stayed outside til morning light oh bridge years gone come around sitting favorite spot town looked got one knee chorus take back time walked aisle whole town came mamas cried said take home met many years well rock babies front porch time might also ill youll ill still look like stars shine sky oh
Midnights,Mastermind,2022,191602536,586750,upon time planets fates stars aligned ended room time precious touch hand lit fuse chain reaction countermove assess equation checkmate couldnt lose chorus told none accidental first night saw nothing gon na stop laid groundwork like clockwork dominoes cascaded line told im mastermind your mine design cause im mastermind verse 2 see wisest women way cause born pawn every lovers game precious fail plan plan fail strategy sets scene tale im wind sails liquor cocktails chorus told none accidental first night saw knew wanted body laid groundwork like clockwork dominoes cascaded line told im mastermind your mine design cause im mastermind might also one wanted play little kid ive scheming like criminal ever since make love make seem effortless first time ive felt need confess swear im cryptic machiavellian cause care chorus told none accidental first night saw nothing gon na stop laid groundwork saw wide smirk face knew entire time knew im mastermind your mine yeah smile cause im
Lover,ME,2019,734412057,295807,promise youll never find another like verse 1 taylor swift know im handful baby uh know never think jump your kinda guy ladies want theres lotta cool chicks know went psycho phone never leave well enough alone troubles gon na follow go theres lotta cool chicks precious taylor swift one things like others like rainbow colors baby doll comes lover promise youll never find another like chorus taylor swift meet im one baby thats fun your one baby thats fun promise nobodys gon na love like meet verse 2 brendon urge taylor swift know tend make know never get see never bore baby theres lotta lame guys fight rain ran called name never wan na see walk away theres lotta lame guys precious brendon urge cause one things like others livin winter summer baby doll comes lover promise youll never find another like might also brendon urge meet im one let keep company your one baby thats fun promise nobodys gon na love like meet bridge brendon urge taylor swift girl aint team know strike band one two three promise youll never find another like girl aint team know cant spell awesome without promise youll never find another like chorus taylor swift brendon urge meet yeah want ya baby im one im one baby thats fun baby thats fun oh your one oh baby thats fun promise nobodys gon na love like meet outdo brendon urge taylor swift girl aint team know im one ooh baby thats fun strike band one two three cant spell awesome without your one yeah yeah baby thats fun promise nobodys gon na love like
SpeakNow,Mean,2010,195161631,204045,words like knives swords weapons use knocked feet got feeling like im nothing voice like nails chalkboard calling im wounded picking weaker man precious well take one single blow dont know dont know chorus someday ill livin big old city your ever gon na mean someday ill big enough cant hit your ever gon na mean got ta mean verse 2 switching sides wildfire lies humiliation pointed flaws dont already see walk head trying block cause ill never impress wan na feel okay might also bet got pushed around somebody made cold cycle ends right cause cant lead road dont know dont know chorus someday ill livin big old city your ever gon na mean someday ill big enough cant hit your ever gon na mean got ta mean bridge see years bar talking football game big loud opinion nobodys listening washed ranting old bitter things drunk grumbling cant sing mean buildup mean liar pathetic alone life mean mean mean mean chorus someday ill livin big old city your ever gon na mean yeah someday ill big enough cant hit your ever gon na mean got ta mean someday ill livin big old city got ta mean your ever gon na mean got ta mean someday ill big enough cant hit got ta mean your ever gon na mean got ta
Midnights,MidnightRain,2022,377664638,1172198,rain wanted comfortable wanted pain wanted bride making name chasing fame stayed changed like midnight verse 1 town wasteland full cages full fences pageant queens big pretenders paradise boy montage love potion jumping things ocean broke heart cause nice sunshine midnight rain chorus wanted comfortable wanted pain wanted bride making name chasing fame stayed changed like midnight verse 2 came like postcard picture perfect shiny family holiday peppermint candy every day peered window deep portal time travel love unravel life gave away cause sunshine midnight rain chorus wanted comfortable wanted pain wanted bride making name chasing fame stayed changed like midnight rain wanted comfortable wanted pain wanted bride making name chasing fame stayed changed like midnight might also guess sometimes get wanted wanted never thinks except im to guess sometimes get kind haunted kind haunted never think except midnights like midnights like midnights like
SpeakNow,Mine,2010,187779666,214925,ooh ooh ooh ooh verse 1 college working part time waitin tables left small town never looked back flight risk fear falling wondering bother love never lasts precious say believe lying couch moment could see yes yes see chorus remember sittin water put arm around first time made rebel careless mans careful daughter best thing thats ever mine verse 2 flash forward takin world together theres drawer things place learn secrets figure im guarded say well never make parents mistakes might also got bills pay got nothing figured hard take yes yes thought chorus remember sittin water put arm around first time made rebel careless mans careful daughter best thing thats ever mine remember city lights water saw start believe first time made rebel careless mans careful daughter best thing thats ever mine ooh ooh bridge remember fight everything slipping right hands ran crying followed street braced goodbye cause thats ive ever known took surprise said ill never leave alone chorus said remember felt sitting water every time look like first time fell love careless mans careful daughter best thing thats ever mine hold make last hold never turn back hold made rebel careless mans careful daughter make last hold best thing thats ever mine hold outdo yes yes believe hold yes yes gon na make hold yes yes see yes yes see
Folklore,mirrorball,2020,252113465,394460,want know im ill show every version tonight ill get floor shimmering beautiful break million pieces chorus hush one around dear youll find tallest tiptoes spinning highest heels love shining hush know said end near im still tallest tiptoes spinning highest heels love shining verse 2 want know im change everything fit like regulars masquerade revelers drunk watch shattered edges glisten might also hush one around dear youll find tallest tiptoes spinning highest heels love shining hush know said end near im still tallest tiptoes spinning highest heels love shining bridge called circus burned disco sent home horses rodeo clowns im still tightrope im still trying everything get laughing im still believer dont know ive never natural try try try im still trapeze im still trying everything keep looking outdo im im ill show every version
Lover,MissAmericanaTheHeartbreakPrince,2019,189176235,422937,know adore im crazier 16 lost film scene waving homecoming queens marching band playing im lost lights american glory faded im feeling hopeless ripped prom dress running rose thorns saw scoreboard ran life ah precious cameras catch pageant smile counted days counted miles see see long time coming chorus thats whole world whisper hallway shes bad bad girl okay whole school rolling fake dice play stupid games win stupid prizes theres nothing like miss americana heartbreak prince okay sad paint town blue voted likely run away verse 2 team losing battered bruising see high fives bad guys leave head hung one seems care american stories burning im feeling helpless damsels depressed boys boys wise men darling im scared ah precious 2 cameras catch muffled cries counted days counted miles see see storm coming might also thats whole world whisper hallway shes bad bad girl okay whole school rolling fake dice play stupid games win stupid prizes theres nothing like miss americana heartbreak prince okay sad paint town blue voted likely run away bridge dont want go dont really wan na fight cause nobodys gon na win think come home dont want go dont really wan na fight cause nobodys gon na win think come home dont want go dont really wan na fight cause nobodys gon na win thought know ill never let go cause know fight someday gon na win chorus thats whole world whisper hallway shes bad bad girl oh thought know know theres nothing like like miss americana heartbreak prince okay sad paint town blue paint blue voted likely run away dont want go dont really wan na fight cause nobodys gon na win think come home ill never let go cause know fight someday gon na win thought know outdo thats whole world whisper hallway shes bad bad girl shes bad bad
Folklore,mytearsricochet,2020,288119194,397857,gather line weeping sunlit room im fire youll made ashes even worst day deserve babe hell gave cause loved swear loved til dying day chorus didn't go grace your hero flying around saving face im dead wake cursing name wishing stayed look tears ricochet verse 2 gather stones never knowing theyll mean throw make diamond ring know didn't want haunt ghostly scene wear jewels gave bury chorus didn't go grace cause id fight used tell brave im dead wake cursing name wishing stayed look tears ricochet might also go anywhere want anywhere want home aim heart go blood would still miss bones still talk im screaming sky cant sleep night hear stolen lullabies chorus didn't go grace battleships sink beneath waves kill killed cursing name wishing stayed turned worst fears your tossing blame drunk pain crossing good years your cursing name wishing stayed look tears
SpeakNow,NeverGrowUp,2010,71551233,90973,little hands wrapped around finger quiet world tonight little eyelids flutter cause your dreaming tuck turn favorite nightlight everythings funny got nothing regret id give honey could stay like chorus oh darling dont ever grow dont ever grow stay little oh darling dont ever grow dont ever grow could stay simple wont let nobody hurt wont let one break heart one desert try never grow never grow verse 2 your car way movies your mortified moms dropping fourteen theres much cant cant wait move someday call shots dont make drop around block remember shes getting older dont lose way dance around pas getting ready school might also oh darling dont ever grow dont ever grow stay little oh darling dont ever grow dont ever grow could stay simple ones ever burned nothings ever left scarred even though want try never grow bridge take pictures mind childhood room memorize sounded like dad gets home remember footsteps remember words said little brothers favorite songs realized everything someday gon na gone new apartment big city dropped much colder thought would tuck turn nightlight wish id never grown wish id never grown chorus oh dont wan na grow wish id never grown could still little oh dont wan na grow wish id never grown could still simple oh darling dont ever grow dont ever grow stay little oh darling dont ever grow dont ever grow could stay simple wont let nobody hurt wont let one break heart even though want please try never grow outdo oh oh dont ever grow oh never grow never grow
Reputation,NewYearsDay,2017,126590222,126609,theres glitter floor party girls carrying shoes lobby candle wax polaroids hardwood floor night chorus i read last page stay your lost im scared i turning away want midnights ill cleaning bottles new years day verse 2 squeeze hand three times back taxi tell gon na long road ill your toast town babe strike your crawling home chorus dont read last page stay i hard i wrong making mistakes want midnights i cleaning bottles new years day hold memories hold hold memories hold hold memories hold hold bridge please dont ever become stranger whose laugh could recognize anywhere please dont ever become stranger whose laugh could recognize anywhere verse 3 i glitter floor party girls carrying shoes lobby candle wax polaroids hardwood floor forevermore might also dont read last page stay hard wrong making mistakes want midnights ill cleaning bottles new years day hold memories hold hold memories hold hold memories hold hold outdo please dont ever become stranger memories hold whose laugh could recognize anywhere hold memories hold please dont ever become stranger hold memories hold whose laugh could recognize anywhere hold
Evermore,nobodynocrime,2020,189241164,159653,verse 1 taylor swift estes friend mine meet every tuesday night dinner glass wine estes losing sleep husbands actin different smells like infidelity says aint merlot mouth aint jewelry joint account aint doubt think im gon na call chorus taylor swift him says think cant prove think cant prove think cant prove body crime aint letting day die him think might also 2 taylor swift este want tuesday night olive garden job anywhere he reports missing wife noticed passed house truck got brand new tires mistress moved sleeps estes bed everything aint doubt somebodys got ta catch cause chorus taylor swift him think cant prove think cant prove think cant prove body crime aint letting day die him taylor swift think verse 3 taylor swift danielle him good thing daddy made get boating license fifteen ive cleaned enough houses know cover scene good thing estes sisters gon na swear dude good thing mistress took big life insurance policy chorus taylor swift think cant prove think cant prove thinks cant prove outdo taylor swift him body crime want letting day he body crime want letting day he body crime want letting day
TaylorSwift,OurSong,2006,218444358,345508,riding shotgun hair undone front seat car hes got unhand feel steering wheel heart look around turn radio says baby something wrong say nothin thinkin dont song says chorus song slamming screen door sneaking late tapping window phone talk real slow cause late mama dont know song way laugh first date man didn't kiss got home fore said amen asking god could play verse 2 walking front porch steps everything day gone wrong trampled lost thrown away got hallway well way lovin bed almost didn't notice roses note said chorus song slamming screen door sneaking late tapping window phone talk real slow cause late mama dont know song way laugh first date man didn't kiss got home fore said amen asking god could play might also bridge ive heard every album listened radio waited somethin come along good song chorus cause song slamming screen door sneaking late tapping window phone talks real slow cause late mama dont know song way laughs first date man didn't kiss got home fore said amen asking god could play play oh yeah oh oh yeah outdo riding shotgun hair undone front seat car grabbed pen old napkin wrote
1989,OutOfTheWoods,2014,242778244,321909,looking seems simple lying couch remember took polaroid us discovered discovered rest world black white screaming color remember thinking chorus woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good woods verse 2 looking last december last december built fall apart fall back together back together ooh necklace hanging neck night couldnt quite forget decided decided move furniture could dance baby like stood chance two paper airplanes flying flying flying remember thinking chorus woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good woods yet woods yet woods yet oh woods clear yet clear yet clear yet clear yet good woods might also remember hit brakes soon twenty stitches hospital room started crying baby sun came looking remember couldnt take heat walked said im setting free monsters turned trees sun came looking looking ooh looking woods yet woods yet woods yet woods remember clear yet clear yet clear yet clear yet good oh remember chorus woods yet woods yet yeah yeah woods yet woods clear yet clear yet say clear yet clear yet good woods yet woods yet woods yet woods clear yet yeah clear yet yeah clear yet clear yet good clear yet good woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet good remember woods yet woods yet woods yet woods clear yet clear yet clear yet clear yet
Lover,PaperRings,2019,403940152,672413,moon high like friends night first met went home tried stalk internet ive read books beside bed wine cold like shoulder gave street cat mouse month two three wake night watch breathe precious any kiss cause know long night oh kiss twice cause gon na alright uh three times cause waited whole life 1 2 1 2 3 4 chorus like shiny things id marry paper rings uh huh thats right darling your one want hate accidents except went friends uh huh thats right darling your one want paper rings picture frames dirty dreams oh your one want verse 2 winter icy outdoor pool jumped first went im even makes blue takes back color painted brothers wall honey without exes fights flaws wouldnt standing tall precious any kiss cause know long night oh kiss twice cause gon na alright uh three times cause waited whole life 1 2 1 2 3 4 ah might also like shiny things id marry paper rings uh huh thats right darling your one want hate accidents except went friends uh huh thats right darling your one want paper rings picture frames dirty dreams oh your one want bridge want drive away want complications want dreary mondays wrap arms around baby boy want drive away want complications want dreary mondays wrap arms around baby boy uh huh chorus like shiny things id marry paper rings ahah thats right your one want hate accidents except went friends ahah darling your one want like shiny things id marry paper rings uh huh thats right darling your one want hate accidents except went friends uh huh thats right darling your one want paper rings picture frames dreams your one want paper rings picture frames dreams oh your one want outdo your one want one want your one want one
Folklore,peace,2020,143560492,135431,come gone suddenly summer clear never courage convictions long danger near around corner darlin cause lives could never give peace chorus im fire ill keep brittle heart warm cascade ocean wave blues come people think loves show would die secret devils details got friend would enough could never give peace verse 2 integrity makes seem small paint wall talk shit friends like im wasting honor know id swing fences sit trenches give wild give child give silence comes two people understand family chose see brother brother enough theres robbers east clowns west id give sunshine give best rain always gon na come your standin might also im fire ill keep brittle heart warm cascade ocean wave blues come people think loves show would die secret devils details got friend would enough could never give peace would enough could never give peace would enough could never give
TaylorSwift,PicturetoBurn,2006,128421269,200775,state obvious didn't get perfect fantasy realize love could ever love go tell friends im obsessive crazy thats fine wont mind say way chorus hate stupid old pickup truck never let drive your redneck heartbreak whos really bad lying watch strike match wasted time far im concerned your another picture burn verse 2 theres time tears im sittin planning revenge theres nothing stopping goin best friends come around sayin sorry daddys gon na show ya sorry youll chorus cause hate stupid old pickup truck never let drive your redneck heartbreak whos really bad lying watch strike match wasted time far im concerned your another picture burn bridge your missing youd better keep cause coming back around would bad health chorus cause hate stupid old pickup truck never let drive your redneck heartbreak whos really bad lying watch strike match wasted time case havent heard really really hate stupid old pickup truck never let drive your redneck heartbreak whos really bad lying watch strike match wasted time far im concerned your another picture burn might also burn burn burn baby burn your another picture burn baby
Midnights,Question,2022,202145611,553732,remember verse 1 good girl sad boy big city wrong choices one thing goin swear somethin cause dont remember painted nights color ive searched since one thing another fuckin situations circumstances miscommunication say way may like explanations chorus ask question ever someone kiss crowded room every single one friends makin fun fifteen seconds later they clapping leave house middle night oh wish youd put fight oh said much wish could still touch question verse 2 eyes bad surprise realize time mind dickhead guy saw night somethin one drink another fuckin politics gender roles your sure dont know got swept away gray may like conversation chorus ask question ever someone kiss crowded room every single one friends makin fun fifteen seconds later clapping leave house middle night oh wish youd put fight oh said much wish could still touch question might also feel like everythings like second best meteor strike whats heard your still thats nice im sure thats whats suitable right tonight chorus ask question ask question ever someone kiss crowded room crowded room every single one friends makin fun makin fun fifteen seconds later clapping leave house middle night oh wish youd put fight oh fight said much wish could still touch
Reputation,ReadyforIt,2017,483616357,419345,knew killer first time saw wondered many girls loved left haunted hes ghost phantom holding ransom boys tryin hard dont try though younger exes act like man see nothing better keep forever like vendetta precious see gon go touch youll never alone island breeze lights low one know chorus middle night dreams see things baby middle night dreams know im gon na take time ready verse 2 knew robber first time saw stealing hearts running never sayin sorry im thief join heist well move island jailer burton taylor every love ive known comparison failure forget names im tame never precious see gon go touch youll never alone island breeze lights low one know one know chorus middle night dreams see things baby middle night dreams know im gon na take time ready oh ready might also baby let games begin let games begin let games begin baby let games begin let games begin let games begin precious see gon go touch youll never alone island breeze lights low one know chorus middle night night dreams dreams see things baby baby him eh middle night dreams dreams know im gon na know im gon na take time middle night refrain baby let games begin let games begin let games begin ready baby let games begin let games begin let games begin ready
Red,Red,2012,222212279,142939,loving like driving new maserati deaden street faster wind passionate sin ending suddenly loving like trying change mind your already flying free fall like colors autumn bright lose chorus losing blue like id never known missing dark gray alone forgetting like trying know somebody youve never met loving red red red red red loving red red red red red verse 2 touching like realizing ever wanted right front memorizing easy knowing words old favorite song fighting like trying solve crossword realizing theres right answer regretting like wishing never found love could strong chorus losing blue like id never known missing dark gray alone whoa forgetting like trying know somebody youve never met loving red red red oh red red red burning red red red red red bridge remembering comes flashbacks echoes tell time got ta let go moving impossible still see head burning red burning red might also oh losing blue like id never known missing dark gray alone whoa forgetting like trying know somebody youve never met cause loving red red red yeah yeah red red red burning red red red red red breakdown thats red red hes spinning round head comes back red red burning red red red yeah yeah red red outdo love like driving new maserati deaden
Red,SadBeautifulTragic,2012,37509432,8049,long handwritten note deep pocket words little mean your little late stood right tracks face locket good girls hopeful theyll long wait chorus beautiful magic love sad beautiful tragic love affair verse 2 dreams meet warm conversation wake lonely beds different cities time taking sweet time erasing youve got demons darling look like chorus cause beautiful magic love sad beautiful tragic love affair bridge distance timing breakdown fighting silence train runs tracks kiss try fix could try listen hang give life us cant get back breakdown beautiful magic love sad beautiful tragic beautiful tragic beautiful chorus beautiful magic love sad beautiful tragic love affair beautiful magic love sad beautiful tragic love might also
Red,SafeAndSound,2012,"213,348,605","51,783",remember tears streaming face said ill never let go shadows almost killed light remember said dont leave alone thats dead gone passed tonight chorus taylor swift joy williams taylor swift close eyes sun going youll alright one hurt come morning light ill safe sound verse 2 taylor swift taylor swift john paul white dont dare look window darlin everythings fire war outside door keeps rain hold lullaby even the music gone gone chorus taylor swift joy williams taylor swift close eyes sun going youll alright one hurt come morning light ill safe sound bridge taylor swift joy williams john paul white taylor swift john paul white joy williams ooh ooh ooh ooh oh oh oh oh ooh ooh ooh ooh oh oh chorus taylor swift taylor swift joy williams close eyes youll alright come morning light ill safe sound might also ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh
Folklore,seven,2020,198487771,190577,please picture trees hit peak seven feet swing creek scared jump high sky pennsylvania still beautiful things chorus sweet tea summer cross heart wont tell though i recall face still got love braids like pattern love moon saturn passed like folk songs love lasts long bridge ive meaning tell think house haunted dad always mad must think come live pirates wont cry hide closet like folk song love passed might also 2 please picture weeds learned civility used scream ferociously time wanted chorus sweet tea summer cross heart i tell though cant recall face still got love pack dolls sweater well move india forever passed like folk songs love lasts
